Kanton,Metriken,Arbeitslosenquote,Registrierte Arbeitslose,Registrierte Stellensuchende,Nicht arbeitslose Stellensuchende
Zürich,,3.7,361007.0,441431.0,80424.0
Bern,,2.7,183398.0,241011.0,57613.0
Luzern,,2.1,55221.0,89599.0,34378.0
Uri,,1,2418.0,4361.0,1943.0
Schwyz,,1.8,18446.0,27475.0,9029.0
Obwalden,,1,2556.0,4514.0,1958.0
Nidwalden,,1.1,3337.0,6149.0,2812.0
Glarus,,2.4,6375.0,10168.0,3793.0
Zug,,2.4,19233.0,31843.0,12610.0
Freiburg,,2.8,55725.0,99586.0,43861.0
Solothurn,,3,51775.0,82492.0,30717.0
Basel-Stadt,,3.9,45986.0,66020.0,20034.0
Basel-Landschaft,,3,53338.0,70312.0,16974.0
Schaffhausen,,3.3,17254.0,30789.0,13535.0
Appenzell Ausserrhoden,,1.8,6694.0,11429.0,4735.0
Appenzell Innerrhoden,,1.1,1182.0,1701.0,519.0
St. Gallen,,2.5,83708.0,138593.0,54885.0
Graubünden,,1.7,22615.0,42028.0,19413.0
Aargau,,3.2,137806.0,191709.0,53903.0
Thurgau,,2.5,45533.0,73743.0,28210.0
Tessin,,3.5,70524.0,112310.0,41786.0
Waadt,,4.7,224894.0,314851.0,89957.0
Wallis,,3.9,82474.0,126925.0,44451.0
Neuenburg,,5.8,64382.0,86039.0,21657.0
Genf,,5.5,155582.0,199113.0,43531.0
Jura,,4.6,20341.0,28975.0,8634.0
Gesamt,,3.3,1791804.0,2533166.0,741362.0
